CRASH REPORT NUMBER,CRASH DATE,MILITARY TIME,AGENCY,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE INJURED                    (CLASS A+B+C),"NUMBER OF VEHICLES, PEDESTRIANS AND PEDALCYCLISTS INVOLVED",WGS_X,WGS_Y
710129663,2013-03-05,11:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.641754575,35.0792671218
710124101,2013-03-06,12:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.618299664,35.075481216
710124559,2013-03-07,17:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611119,35.0783196709
710093803,2013-03-07,17:49,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
23313099,2013-03-14,0:00,STATION REPORT,0,0,0,0,0,2,-106.635358322,35.0824999101
710122650,2013-03-20,18:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710116816,2013-03-20,22:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.641754575,35.0792671218
60000463,2013-03-21,19:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.601077055,35.0754207136
710124560,2013-03-28,19:58,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.609543698,35.0754813666
710078406,2013-04-09,21:43,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.636989871,35.0786260404
710122995,2013-04-09,10:21,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118602,35.0750387963
710127003,2013-04-17,18:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710115383,2013-04-25,16:03,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.61202414,35.07547402
710118950,2013-04-29,13:35,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.644150511,35.0795746499
710140432,2013-05-07,14:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.639384173,35.0789522584
710137578,2013-05-09,6:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,0,2,2,-106.622118713,35.075038885
710112539,2013-05-14,7:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.597142324,35.0753990353
710137432,2013-05-16,18:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
22737165,2013-05-18,17:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
7101419,2013-05-24,15:42,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710081370,2013-05-30,13:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
22734510,2013-05-31,13:50,STATION REPORT,0,0,0,1,1,2,-106.609543698,35.0754813666
710094693,2013-06-13,11:03,ALBUQUERQUE POLICE DEPARTMENT,0,2,0,0,2,2,-106.622118602,35.0750387963
710137438,2013-06-15,3:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.59535823,35.0749689211
710122024,2013-06-26,15:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.627745906,35.0756912502
23326575,2013-06-29,11:30,STATION REPORT,0,0,0,0,0,2,-106.598033541,35.0754109149
710094422,2013-07-01,17:54,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,0,1,2,-106.636989871,35.0786260404
710118961,2013-07-08,12:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710094423,2013-07-09,20:44,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.622118713,35.075038885
710137754,2013-07-09,10:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
23326058,2013-07-11,17:00,STATION REPORT,0,0,0,0,0,2,-106.640578972,35.0791153364
23350854,2013-07-12,11:45,STATION REPORT,0,0,0,0,0,2,-106.613295731,35.0754482716
710116350,2013-07-18,17:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.605789732,35.0754385455
710131512,2013-07-19,12:59,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
23326980,2013-07-20,22:30,STATION REPORT,0,0,0,0,0,2,-106.61202414,35.07547402
23326940,2013-07-22,16:00,STATION REPORT,0,0,0,0,0,1,-106.627745906,35.0756912502
23353935,2013-07-23,9:20,STATION REPORT,0,0,0,0,0,2,-106.627745906,35.0756912502
710137446,2013-07-24,0:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
23326267,2013-07-28,14:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.620801702,35.0754735818
710140487,2013-07-29,18:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.60706997,35.0754508861
710142678,2013-08-04,3:52,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.614556319,35.0754763924
23354030,2013-08-07,17:57,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710139286,2013-08-08,15:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.644150511,35.0795746499
7101466,2013-08-08,16:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710081395,2013-08-12,17:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710129101,2013-08-22,11:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710143337,2013-08-23,19:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.628146369,35.0766430206
710137455,2013-08-24,18:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
23354085,2013-08-27,8:10,STATION REPORT,0,0,0,0,0,2,-106.624053023,35.0750287699
710137870,2013-08-29,12:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.614556319,35.0754763924
7101471,2013-08-30,12:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.631782097,35.0779659401
710141728,2013-08-31,14:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411747,35.0797354266
23326167,2013-09-03,17:45,STATION REPORT,0,0,0,0,0,2,-106.613295731,35.0754482716
710140684,2013-09-03,16:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.59535823,35.0749689211
710145329,2013-09-10,15:09,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.617058268,35.0754530585
710141257,2013-09-11,7:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989871,35.0786260404
710138112,2013-09-12,15:14,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.619539634,35.0754816101
710143480,2013-09-15,19:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
710130621,2013-09-16,18:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.603390795,35.0754300805
23384070,2013-09-24,0:00,LEFT BLANK,0,0,0,0,0,1,-106.62984999,35.0777096347
710141261,2013-09-27,7:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710137938,2013-09-28,14:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.644150511,35.0795746499
710139843,2013-10-01,15:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710139089,2013-10-01,10:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.624053023,35.0750287699
710137813,2013-10-01,9:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
60000607,2013-10-02,16:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.609543698,35.0754813666
710140688,2013-10-02,18:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.638168521,35.0788046876
710142759,2013-10-03,15:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710146484,2013-10-04,8:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.645411747,35.0797354266
710140689,2013-10-07,15:06,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.601077055,35.0754207136
710139848,2013-10-08,18:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,3,-106.618299554,35.0754812174
710137817,2013-10-11,7:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
710130869,2013-10-15,12:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.61202414,35.07547402
710141268,2013-10-17,7:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.634611121,35.078319761
710042023,2013-10-19,0:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989871,35.0786260404
710144931,2013-10-22,9:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624053023,35.0750287699
30091951,2013-10-25,11:30,UNM POLICE DEPARTMENT,0,0,0,3,3,2,-106.604529241,35.075426471
710147725,2013-10-27,14:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,1,3,2,-106.599944915,35.0754215928
710123820,2013-10-28,16:45,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.60222097,35.0754331022
23384271,2013-10-31,17:40,STATION REPORT,0,0,0,0,0,2,-106.645411747,35.0797354266
23383144,2013-10-31,22:30,STATION REPORT,0,0,0,0,0,2,-106.604529241,35.075426471
710138133,2013-11-01,16:28,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611121,35.078319761
710146463,2013-11-01,16:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.633421016,35.0781764861
60000605,2013-11-06,19:48,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.59535823,35.0749689211
710137874,2013-11-09,8:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.620801702,35.0754735818
60000669,2013-11-10,17:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
710125670,2013-11-12,10:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
23331134,2013-11-13,18:57,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.624053023,35.0750287699
710137850,2013-11-14,7:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
146808,2013-11-21,18:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.622118713,35.075038885
710145214,2013-11-21,9:09,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
710149252,2013-11-25,15:42,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
710146951,2013-11-27,12:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529241,35.075426471
710148004,2013-12-05,14:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.605789732,35.0754385455
23392134,2013-12-11,18:30,STATION REPORT,0,0,0,0,0,2,-106.635813448,35.0784707934
23384425,2013-12-11,18:45,INVALID CODE,0,0,0,0,0,2,-106.638168521,35.0788046876
710144938,2013-12-16,6:47,ALBUQUERQUE POLICE DEPARTMENT,1,0,0,0,0,2,-106.649975279,35.0803148989
710148730,2013-12-20,17:33,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.619539523,35.0754815215
710125678,2013-12-23,8:41,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611121,35.078319761
710129105,2013-12-24,7:14,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.604529241,35.075426471
710149854,2014-01-08,8:08,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,1,-106.627745892,35.0756912234
710148748,2014-01-09,20:34,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.618299682,35.0754812518
23392157,2014-01-10,10:05,9999,0,0,0,0,0,2,-106.634611147,35.0783197426
23365951,2014-01-27,18:30,9999,0,0,0,0,0,2,-106.622118728,35.0750388938
710123603,2014-02-24,6:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611147,35.0783197426
710142329,2014-03-12,17:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989844,35.0786261129
710149679,2014-03-19,20:35,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118728,35.0750388938
710182675,2014-03-23,12:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118728,35.0750388938
23366049,2014-04-02,16:40,STATION REPORT,0,0,0,0,0,1,-106.631054037,35.0778779572
710184464,2014-04-10,15:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118728,35.0750388938
185096,2014-05-16,16:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.613295733,35.0754482536
710142955,2014-05-30,14:14,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168474,35.0788047062
23366935,2014-06-14,15:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.632237074,35.0780208998
710150509,2014-06-23,12:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.633421015,35.0781765222
23329375,2014-07-02,11:30,STATION REPORT,0,0,0,0,0,2,-106.613295733,35.0754482536
710200281,2014-07-04,21:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.649975398,35.0803149694
710203902,2014-07-07,7:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411786,35.079735435
23400803,2014-07-14,5:55,STATION REPORT,0,0,0,0,0,2,-106.636989844,35.0786261129
710198634,2014-08-24,18:29,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,3,5,3,-106.649975398,35.0803149694
23387458,2014-08-26,8:50,UNKNOWN,0,0,0,0,0,2,-106.627745892,35.0756912234
23403727,2014-09-06,21:30,STATION REPORT,0,0,0,0,0,2,-106.622118728,35.0750388938
710187439,2014-09-17,16:20,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.627745892,35.0756912234
710197483,2014-09-18,7:10,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.604529281,35.0754264525
710198892,2014-10-01,21:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,4,4,2,-106.627745892,35.0756912234
23405008,2014-10-01,21:00,STATION REPORT,0,0,0,0,0,2,-106.62753445,35.0774040068
710189189,2014-10-02,18:52,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.636989844,35.0786261129
23303588,2014-10-18,8:20,STATION REPORT,0,0,0,0,0,2,-106.649975398,35.0803149694
710190638,2014-10-19,8:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.613295733,35.0754482536
710201171,2014-10-21,9:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745892,35.0756912234
710213876,2014-10-23,7:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.627745892,35.0756912234
710213937,2014-10-28,20:37,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745892,35.0756912234
23383842,2014-10-30,22:00,STATION REPORT,0,0,0,0,0,2,-106.627745892,35.0756912234
23383756,2014-10-30,22:00,STATION REPORT,0,0,0,0,0,3,-106.627745892,35.0756912234
23383774,2014-11-05,20:45,STATION REPORT,0,0,0,0,0,2,,
710199539,2014-11-13,8:44,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118626,35.0750388231
71020943,2014-11-19,10:36,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745892,35.0756912234
71020117,2014-12-02,8:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745892,35.0756912234
710189200,2014-12-10,15:42,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,0,1,2,-106.622118728,35.0750388938
710124130,2014-12-11,12:27,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529281,35.0754264525
710214934,2014-12-12,15:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411786,35.079735435
710216053,2014-12-25,10:58,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.641754598,35.0792671486
710201180,2014-12-26,12:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989844,35.0786261129
710204748,2014-12-27,15:05,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.645411786,35.079735435
