CRASH REPORT NUMBER,CRASH DATE,CRASH YEAR,MONTH,DAY OF MONTH,DAY OF WEEK,TIME OF CRASH,HOUR OF CRASH,COUNTY,CRASH LOCATION (CITY OR RURAL),REPORTING AGENCY,STREET,STREET LOCATION,PRIMARY STREET,SECONDARY STREET,CRASH SEVERITY,CRASH CLASSIFICATION,CRASH ANALYSIS,HIGHEST CONTRIBUTING FACTOR TO CRASH,NUMBER OF PEOPLE IN CRASH,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH VISIBLE INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE NOT INJURED,NUMBER OF VEHICLES INVOLVED,ALCOHOL INVOLVEMENT,DRUG INVOLVEMENT,PEDESTRIAN INVOLVEMENT,MOTORCYCLE INVOLVEMENT,PEDALCYCLE INVOLVEMENT,HEAVY TRUCK INVOLVEMENT,HAZARDOUS MATERIAL INVOLVEMENT,LIGHTING,WEATHER,HIT AND RUN CRASH,MAXIMUM VEHICLE DAMAGE,HIGHEST ENFORCEMENT ACTION,STATE HIGHWAY DEPT. PROPERTY,"ROAD SYSTEM--RURAL, URBAN, OR INTERSTATE",HIGHWAY ELEMENT,FIRST HARMFUL EVENT OCCURRED,ROAD CHARACTER,ROAD GRADE,DIRECTION OF VEHICLE WITH HIGHEST CONTRIBUTING FACTOR,DIRECTION FROM INTERSECTION,FEET FROM INTERSECTION,MILES FROM INTERSECTION,AMBULANCE NAME,UTM_X,UTM_Y,WGS_X,WGS_Y
101269,2/18/94,1994,February,18,Friday,1635,16,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,40,0,,354547.428826,3882520.734929,-106.5954,35.075
100158,3/30/94,1994,March,30,Wednesday,1130,11,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
213743,4/1/94,1994,April,1,Friday,1908,19,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
203345,4/6/94,1994,April,6,Wednesday,645,6,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - One Right Turn/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Other,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
198580,6/7/94,1994,June,7,Tuesday,1255,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,3,0,0,0,1,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,CURVE,On Grade,,EAST,16,0,,354547.428826,3882520.734929,-106.5954,35.075
201252,7/13/94,1994,July,13,Wednesday,1723,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/Both Turn Left,Driver Inattention,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,20,0,,354547.428826,3882520.734929,-106.5954,35.075
202352,7/17/94,1994,July,17,Sunday,50,0,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Other Improper Driving,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,Yes,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,20,0,,354547.428826,3882520.734929,-106.5954,35.075
206783,10/16/94,1994,October,16,Sunday,2159,21,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Not Lighted,Raining,Yes,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
223560,11/18/94,1994,November,18,Friday,1737,17,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Driver Inattention,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dusk,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
320558,1/3/95,1995,January,3,Tuesday,555,5,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,3,0,0,0,0,3,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
193887,1/30/95,1995,January,30,Monday,1540,15,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
259430,3/17/95,1995,March,17,Friday,1450,14,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,CURVE,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
200324,7/17/95,1995,July,17,Monday,2044,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Alcohol/Drug Involved,5,0,0,0,1,4,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Raining,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,AAS,354547.428826,3882520.734929,-106.5954,35.075
493289,9/12/95,1995,September,12,Tuesday,955,9,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/Both Going Straight,Excessive Speed,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,WEST,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
516415,11/17/95,1995,November,17,Friday,1253,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,EAST,20,0,,354547.428826,3882520.734929,-106.5954,35.075
182562,11/29/95,1995,November,29,Wednesday,2002,20,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Non-Intersection - From Opposite Direction/Head-On Collision,Alcohol/Drug Involved,4,0,0,2,1,1,2,Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Dark-Lighted,Clear,No,Disabling,BOOKED,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
472628,1/11/96,1996,January,11,Thursday,1140,11,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Improper Overtaking,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
527141,1/20/96,1996,January,20,Saturday,850,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
548104,8/28/96,1996,August,28,Wednesday,1400,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,4,0,0,0,0,4,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Disabling,BOOKED,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
266949,9/29/96,1996,September,29,Sunday,1030,10,BERNALILLO,ALBUQUERQUE,COUNTY SHERIFF,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Parked Vehicle,Vehicle Backed Into Parked Vehicle,Improper Backing,1,0,0,0,0,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,CITATION,,Urban,NON-INTERSECTION,Off Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
716543,10/15/96,1996,October,15,Tuesday,1600,16,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Disregarded Traffic Signal,5,0,0,0,0,5,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
321049,10/29/96,1996,October,29,Tuesday,1233,12,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - From Opposite Direction/One Left Turn,Failed to Yield Right of Way,2,0,0,0,1,1,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,Yes,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
613405,1/20/97,1997,January,20,Monday,800,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,CITATION,,Urban,INTER. RELATED,On Roadway,STRAIGHT,Level,,WEST,10,0,,354547.428826,3882520.734929,-106.5954,35.075
605377,7/20/97,1997,July,20,Sunday,1600,16,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Intersection - From Same Direction/One Stopped,Following Too Closely,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
691333,7/20/97,1997,July,20,Sunday,1416,14,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,2,0,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,CITATION,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,ALB AMB,354547.428826,3882520.734929,-106.5954,35.075
691407,8/3/97,1997,August,3,Sunday,824,8,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Other Vehicle,Intersection - Both Going Straight/Entering At Angle,Disregarded Traffic Signal,2,0,0,0,2,0,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Disabling,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,AMB,354547.428826,3882520.734929,-106.5954,35.075
743274,8/29/97,1997,August,29,Friday,1029,10,BERNALILLO,ALBUQUERQUE,ALBUQUERQUE POLICE DEPARTMENT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Injury Crash,Pedalcyclist,Vehicle Struck Pedalcyclist Head On,Failed to Yield Right of Way,5,0,0,1,0,4,2,Not Involved,,Not Involved,Not Involved,Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,INTERSECTION,On Roadway,STRAIGHT,Level,,UNKNOWN OR N/A,0,0,,354547.428826,3882520.734929,-106.5954,35.075
134382,12/7/97,1997,December,7,Sunday,1300,13,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - From Same Direction/Sideswipe Collision,Driver Inattention,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Raining,No,Appearance,NONE,,Urban,NON-INTERSECTION,On Roadway,CURVE,Level,,U,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
865745,12/7/97,1997,December,7,Sunday,1316,13,BERNALILLO,ALBUQUERQUE,STATION REPORT,LEAD/COAL,PRIMARY,ZUNI RD SE,WASHINGTON ST SE,Property Damage Only Crash,Other Vehicle,Non-Intersection - One Vehicle/Leave Driveway Access,Failed to Yield Right of Way,2,0,0,0,0,2,2,Not Involved,,Not Involved,Not Involved,Not Involved,Not Involved,Not Involved,Daylight,Clear,No,Appearance,NONE,,Urban,DRIVEWAY ACCESS,On Roadway,STRAIGHT,Level,,EAST,9998,0,,354547.428826,3882520.734929,-106.5954,35.075
